Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Ethiopia,ETH,"Population, total",SP.POP.TOTL,47887865,66224804,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,112078730,..
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,3.43186437219509,2.88267254878244,2.81261034549877,2.82961721422517,2.82701836060576,2.79992186176293,2.75612778784043,2.70810630355162,2.66346797807375,2.62001348207265,2.57956334803926,..
Ethiopia,ETH,Surface area (sq. km),AG.SRF.TOTL.K2,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,..,..
Ethiopia,ETH,Population density (people per sq. km of land area),EN.POP.DNST,47.887865,66.224804,90.139927,92.726971,95.385785,98.094253,100.835458,103.603501,106.400024,109.224559,..,..
Ethiopia,ETH,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,23.5,..,..,..,..,..
Ethiopia,ETH,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,32.6,..,..,..,..,..
Ethiopia,ETH,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,12294356405.5571,8282808160.47557,35237153539.824,38143234738.8908,44574863493.5552,53613560417.0118,60070079523.1626,68942747989.1675,78378593589.7494,86862198769.1083,94972317026.588,..
Ethiopia,ETH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,260,130,390,410,470,550,600,670,740,800,850,..
Ethiopia,ETH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,19767810668.3383,31745637945.0577,102066933556.261,112283157655.966,122160005499.923,148077638928.901,166439908210.722,194015690748.877,213816795462.579,234298336842.44,258391655418.508,..
Ethiopia,ETH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,410,480,1130,1210,1280,1510,1650,1870,2010,2150,2310,..
Ethiopia,ETH,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,7.3,..,..,..,..,..
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.099,51.941,62.505,63.281,63.961,64.547,65.048,65.482,65.872,66.24,..,..
Ethiopia,ETH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.246,6.543,5.017,4.901,4.787,4.675,4.565,4.456,4.35,4.247,..,..
Ethiopia,ETH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,118.3444,110.6438,79.707,77.978,75.7278,73.4776,71.2274,68.9772,66.727,65.0748,..,..
Ethiopia,ETH,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,4.8,8.1,28.6,..,..,42,37.9,35.9,36.5555026144542,40.1,..,..
Ethiopia,ETH,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,5.6,10,..,23.1,15.5,..,27.7,..,..,..,..
Ethiopia,ETH,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,199.9,140.3,77.6,73.4,69.5,65.8,62.2,58.9,55.8,53.1,50.7,..
Ethiopia,ETH,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,42,29.2,..,..,25.2,..,23.6,..,..,21.1,..
Ethiopia,ETH,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,38,36,68,62,55,54,56,57,59,55,58,..
Ethiopia,ETH,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,22.315559387207,52.5476303100586,50.3079681396484,..,53.3883285522461,54.1109008789063,..,..,..,..,..
Ethiopia,ETH,"School enrollment, primary (% gross)",SE.PRM.ENRR,35.2561683654785,54.7184181213379,94.2797164916992,94.2650604248047,..,99.2527618408203,100.971488952637,..,..,..,..,..
Ethiopia,ETH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,13.5388698577881,36.004150390625,37.5771408081055,..,..,34.9394683837891,..,..,..,..,..
Ethiopia,ETH,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,0.657270014286041,0.912249982357025,0.922720015048981,..,..,0.921459972858429,..,..,..,..,..
Ethiopia,ETH,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2,2.6,1.3,1.3,1.2,1.2,1.1,1.1,1,1,0.9,..
Ethiopia,ETH,Forest area (sq. km),AG.LND.FRST.K2,..,137050,123365.99609375,123772.001953125,124177.998046875,124584.00390625,124990,125395.99609375,..,..,..,..
Ethiopia,ETH,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,18.4749520269516,18.4749603066502,18.4749603066502,..,..
Ethiopia,ETH,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,Urban population growth (annual %),SP.URB.GROW,5.35983296704309,4.15944091179067,5.18620476481091,5.19774643764743,5.08654217155359,5.05163039359862,4.9942913035533,4.93754789998572,4.87383095195681,4.82593017790277,4.78027987137827,..
Ethiopia,ETH,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,478.902828514071,478.493254581773,489.175656865132,489.193926112393,492.145208009768,493.130163293052,..,..,..,..,..,..
Ethiopia,ETH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0630209970730581,0.0536000982350963,0.0791656066018336,0.0918658391203138,0.109142185075061,0.126763766680603,0.136045863945994,0.143524927791774,..,..,..,..
Ethiopia,ETH,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,22.5944505982883,22.755824237698,52.55162898013,57.2109704737363,64.0556661561259,69.1987531624304,..,..,..,..,..,..
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,12175166763.285,8242392103.68061,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882,81770791970.982,84269348327.3454,95912590628.1412,..
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.72645178301019,6.07321747957957,11.1782962271641,8.64781163337416,10.5822700482672,10.2574929610051,10.3924630202334,9.43348265784402,9.56418964295607,6.81614779681703,8.3640856990789,..
Ethiopia,ETH,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.27137460802037,9.46471895544634,20.061875081957,33.5414050179965,4.90197929907841,10.9817882908686,10.8365427789744,10.3979255406466,6.67685508319342,12.3822948123876,12.8603968185939,..
Ethiopia,ETH,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,49.4912480282983,44.6660179485759,41.2499638574537,44.3309427521463,41.2395055340925,38.5204496889284,36.0569753905786,34.6988795973718,33.7792806688833,31.1119291620779,33.521071998115,..
Ethiopia,ETH,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,9.30386684939494,11.4104671171237,9.6646421928884,9.47613796506918,10.9445569914695,13.4713245062584,16.2977936386153,21.9325682020946,23.5819061799905,27.3057021409277,24.8223675100372,..
Ethiopia,ETH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,16.6868531997337,13.7672981990263,12.484073558977,11.6416199095703,9.36331359735926,7.81208050267299,7.62936862241418,8.37267586646371,7.9399766087609,..
Ethiopia,ETH,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..,31.5460822119553,31.630605984481,28.9877135217855,29.0994642402923,30.2928105475922,27.0869722982698,23.4742626798764,22.8266990770053,20.8753243982814,..
Ethiopia,ETH,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,0,0,32.1076664694521,37.0979619673542,34.0811183155872,37.9937253037378,40.6712729848122,37.3487737046879,38.443986368294,34.7288171877819,35.2639839212175,..
Ethiopia,ETH,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,12.2658003093269,..,10.8764740793191,11.0704406589647,10.4402875798581,9.73745298640636,9.94334434408776,9.35821999243861,9.44482816270803,8.97336366776418,7.78822480003352,..
Ethiopia,ETH,Time required to start a business (days),IC.REG.DURS,..,..,40,40,39,39,35,35,33,32,32,..
Ethiopia,ETH,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,39.1637623518232,48.6419635510243,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,8.6391896656738,..,9.20935861701915,9.37759471505438,8.76472537700643,8.81195539315636,8.35133826701354,8.08706553329928,7.6039292287321,7.519920423209,6.66174132174475,..
Ethiopia,ETH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,9.6579698086295,7.61384390577726,1.0907074439921,0.868362090380475,0.806417117446453,0.768411100510026,0.705413868072999,0.695462177224286,0.666369217322697,0.639015250979108,0.601169492105336,..
Ethiopia,ETH,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0.0268132,15.6719,22.1337,26.8875,31.0823,41.9611,49.4424,37.2181,36.2007,36.2007,..
Ethiopia,ETH,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,2.30949501841605,4.21334023604821,2.02599408520426,9.1297988409273,7.76637413613944,7.05616481642562,49.3161952396856,60.9686889798099,..,..
Ethiopia,ETH,Statistical Capacity score (Overall average),IQ.SCI.OVRL,..,..,73.3333333333333,65.5555555555556,66.6666666666667,61.1111111111111,68.8889,70.0000333333333,70.0000333333333,62.2222333333333,61.1111,..
Ethiopia,ETH,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1.13263335674256E-05,2.11831708324132E-05,3.68387546550886E-05,3.52868747068032E-05,3.15751623034412E-05,3.35034228834772E-05,3.03703390140773E-05,2.58665877302233E-05,2.29703046127589E-05,2.13707597809393E-05,1.80528957528958E-05,..
Ethiopia,ETH,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,120.8333333,100,143.8594976,138.7736542,134.3132079,141.6974271,137.9119132,144.7156025,140.082932,128.9530252,..,..
Ethiopia,ETH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,8645231101.2,5516263792.3,8606448543.8,10463932699.2,12584252082.9,16945024499.2,20519350424.1,23473611284.1,26233362394.7,27793379640.3,28287820758.5,..
Ethiopia,ETH,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,38.983055504067,13.7393880021894,5.88919875915745,7.13646086305811,10.7038369461714,11.870058525757,17.4142924819853,21.0939336468228,22.4457125948167,21.5480640627721,28.9415243013271,..
Ethiopia,ETH,Net migration,SM.POP.NETM,..,..,..,399997,..,..,..,..,150002,..,..,..
Ethiopia,ETH,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,5217391.491,53158882.3789732,538339894.672104,624360669.898232,833031317.03511,1796377786.73295,1086986751.24654,772235946.595019,393379170.003451,436325463.090782,531044170.009023,..
Ethiopia,ETH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,0,134640000,628624805.998665,278562822.162861,1343876023.73137,1855052153.64106,2626517918.313,4142937496.46329,4017159564.65434,3360419368.65295,2516228020.2911,..
Ethiopia,ETH,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1009250000,687799987.792969,3495889892.57813,3243290039.0625,3885540039.0625,3583959960.9375,3238889892.57813,4084250000,4124270019.53125,4930049804.6875,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,
